movie_id,actor_id
601,1066
602,1067
602,1068
602,1069
603,43
603,1070
603,1071
604,1072
604,1073
604,1074
605,88
605,187
605,1075
606,1076
606,1077
606,1078
607,1079
607,1080
607,706
608,1081
608,399
608,443
609,401
609,164
609,1082
610,1083
610,1084
610,1085
611,1086
611,1087
611,1088
612,1089
612,584
612,748
613,481
613,1090
613,1091
614,1092
614,1093
614,1094
616,1095
616,1096
616,1097
617,1098
617,1099
617,1100
619,1101
619,1102
619,1103
620,1104
620,1105
620,1106
621,395
621,652
621,1107
623,906
623,1108
623,1109
624,856
624,1110
624,1111
626,819
626,1112
626,933
627,764
627,1113
627,1114
628,426
628,405
628,1115
629,1116
629,135
629,1117
630,510
630,1118
630,1119
631,886
631,1120
631,1121
632,1122
632,1123
632,1124
633,1125
633,1126
633,1127
634,458
634,1128
634,1129
635,475
635,112
635,1130
636,1131
636,1132
636,1133
637,13
637,557
637,1134
639,1135
639,1136
639,1137
640,45
640,651
640,139
641,1138
641,1139
641,1140
642,1141
642,1142
642,1143
643,1144
643,1145
643,1146
644,1147
644,1148
644,1149
645,1150
645,305
645,653
647,407
647,559
647,1151
648,582
648,1152
648,1150
650,744
650,639
650,964
652,1153
652,1154
652,1155
653,483
653,425
653,436
654,1156
654,1157
654,1158
656,458
656,44
656,972
658,1159
658,1160
658,1161
659,1162
659,1163
659,1164
660,40
660,1165
660,1166
661,1167
661,1168
661,899
662,1169
662,780
662,1170
663,1171
663,1172
663,1173
664,1174
664,139
664,1175
665,1176
665,1177
665,1178
668,1179
668,1180
668,1181
669,1182
669,1183
669,1184
670,1185
670,1186
670,1187
671,1188
671,1189
671,1190
672,145
672,1191
672,450
673,1192
673,1193
673,1135
674,1194
674,1195
674,1196
676,1197
676,1198
676,1199
679,514
679,1200
679,1201
680,1202
680,1203
680,1204
681,1205
681,386
681,1206
682,1207
682,1208
683,1209
683,1210
683,1211
684,1212
684,1213
684,1214
687,120
687,515
687,1215
688,951
688,272
688,174
691,1216
