actor_id,actor
457,Elizabeth Perkins
458,Whoopi Goldberg
459,Kathleen Turner
460,Peter Fonda
461,Nic Ratner
462,Jeremy Northam
463,Dennis Miller
464,Parker Posey
465,Omar Townsend
466,The Lady Bunny
467,Elias Koteas
468,Virginia Madsen
469,Mia Farrow
470,Tony Goldwyn
471,Juana Barrios
472,Xander Berkeley
473,Dean Norris
474,Gary Oldman
475,Robert Duvall
476,Kathy Najimy
477,Mo Gaffney
478,Elizabeth Berkley
479,Kyle MacLachlan
480,Gina Gershon
481,William Hurt
482,Giancarlo Esposito
483,Dennis Quaid
484,Natasha Henstridge
485,Ben Kingsley
486,Aidan Quinn
487,Frances Fisher
488,Ralph Fiennes
489,Nino Castelnuovo
490,Anne Vernon
491,Daryl Hannah
492,Keith Carradine
493,Moira Kelly
494,Patrick Swayze
495,Joseph Mazzello
496,Romane Bohringer
497,John Leguizamo
498,Steven Seagal
499,Eric Bogosian
500,Everett McGill
501,Andie MacDowell
502,Michael Richards
503,Isaac Mizrahi
504,Roseanne Barr
505,Sandra Bernhard
506,Aitana Sánchez-Gijón
507,Anthony Quinn
508,Kevin Costner
509,Jeanne Tripplehorn
510,Dennis Hopper
511,Harry Belafonte
512,Kelly Lynch
513,Ellen Barkin
514,Albert Finney
515,Greta Scacchi
516,Daniel Stern
517,Jon Polito
518,Brad Sullivan
519,Nikita Mikhalkov
520,Ingeborga Dapkunaite
521,Oleg Menshikov
522,Katrin Cartlidge
523,Rade Serbedzija
524,Grégoire Colin
525,Ethan Hawke
526,Julie Delpy
527,Andrea Eckert
528,Darren McGavin
529,Bridgette Wilson-Sampras
530,J.T. Walsh
531,Mary-Louise Parker
532,Aeryk Egan
533,Jeffrey Combs
534,Barbara Crampton
535,Jonathan Fuller
536,Jessica Dollarhide
537,Minnie Driver
538,Geraldine O'Rawe
539,Brian O'Halloran
540,Jeff Anderson
541,Marilyn Ghigliotti
542,Donald Sutherland
543,Bruce Greenwood
544,Andrew McCarthy
545,Denise Crosby
546,Gary Busey
547,Yancy Butler
548,Dylan McDermott
549,Nancy Travis
550,Quentin Tarantino
551,Stuart Wilson
552,Sihung Lung
553,Kuei-Mei Yang
554,Wang Yu-wen
555,Don McKellar
556,Dana Delany
557,Dan Aykroyd
558,Martin Landau
559,Meg Ryan
560,Kevin Kline
561,Billy Crystal
562,Debra Winger
563,Joe Mantegna
564,Mimi Rogers
565,Bruce Davison
566,Jeff Goldblum
567,Christine Lahti
568,Dal McKennon
569,Art Clokey
570,Gloria Clokey
571,William Gates
572,Arthur Agee
573,Emma Gates
574,Melanie Lynskey
575,Sarah Peirse
576,Jeroen Krabbé
577,Isabella Rossellini
578,John Lone
579,Joan Chen
580,Tim Robbins
581,Brad Pitt
582,Tom Cruise
583,Nick Nolte
584,Gwyneth Paltrow
585,Arnold Schwarzenegger
586,Kate Capshaw
587,Thomas Ian Nicholas
588,Joss Ackland
589,Art Malik
590,Mark Hamill
591,Carrie Fisher
592,Liesel Matthews
593,Eleanor Bron
594,Liam Cunningham
595,Crissy Rock
596,Vladimir Vega
597,Sandie Lavelle
598,Marco Leonardi
599,Lumi Cavazos
600,Regina Torné
601,Angel Aviles
602,Seidy Lopez
603,Jacob Vargas
604,Warren Beatty
605,Katharine Hepburn
606,David Strathairn
607,Nigel Hawthorne
608,Helen Mirren
609,Rupert Graves
610,Chevy Chase
611,Farrah Fawcett
612,Madeline Kahn
613,Robert Klein
614,Melanie Griffith
615,Michael Patrick Carter
616,Richard Attenborough
